question_uid,grade,subject,unit,learning_goal,question_text,option_1,option_1_tag,option_2,option_2_tag,option_3,option_3_tag,option_4,option_4_tag,correct_answer,level,hint,is_remedy
G7Ch1S1Q1,7,Science,The Ever Evolving World of Science,What is Science? A Way of Thinking,Which of the following is the starting point of scientific thinking?,Going to a lab to perform experiments,G7C1.4,Making a hypothesis,,Curiosity and asking "Why" or "How" about things we observe,,Learning all scientific terms and their meanings,G7C1.1,C,Theory,,false
G7Ch1S1Q2,7,Science,The Ever Evolving World of Science,What is Science? A Way of Thinking,Science is best described as:,A subject in which we memorise facts and definitions given in the textbook,G7C1.1,"A way of thinking that involves asking questions, observing carefully, and testing ideas",,Only the experiments done by scientists in big laboratories,G7C1.2,A collection of inventions and machines that make life easier,G7C1.3,B,Theory,,false
G7Ch1S2Q1,7,Science,The Ever Evolving World of Science,Curiosity to Discovery,Which of the following shows curiosity in science?,Only seeing a phenomenon,G7C1.4,Observing a phenomenon and asking 'why and how' questions,,Observing a phenomenon and memorizing its content,G7C1.1,Observing the phenomenon multiple times without thinking,G7C1.4,B,Understanding,,false
G7Ch1S2Q2,7,Science,The Ever Evolving World of Science,Curiosity to Discovery,Who is being curious towards science?,Meena copies scientific definitions from textbook to notebook.,G7C1.1,Vanya reads biographies of famous scientists.,G7C1.5,Jaya observes dhokla rising when steamed and asks the reason for it.,,Kavya cleans different lab apparatus.,G7C1.5,C,Application,,false
G7Ch1S3Q1,7,Science,The Ever Evolving World of Science,The Web of Science: Everything is Connected,Which statement is TRUE about science?,Each branch of science works completely separately.,G7C1.6,Physics is not connected to biology.,G7C1.6,Chemistry can be connected to either biology or physics but not both.,G7C1.6,Real-life phenomena can involve many branches of science together.,,D,Theory,,false
G7Ch1S3Q2,7,Science,The Ever Evolving World of Science,The Web of Science: Everything is Connected,A burning candle involves:,Only physics,G7C1.6,Only chemistry,G7C1.6,Both physics and chemistry,,"All of - physics, chemistry and biology",G7C1.6,C,Application,,false
G7Ch1S4Q1,7,Science,The Ever Evolving World of Science,Everyday Phenomena: Thinking Like a Scientist,"Assertion (A): Rusting of iron is a permanent change. Reason (R): All changes around us are permanent.","Both A and R are true and R is the correct explanation of A.",G7C1.7,"Both A and R are true, but R is not the correct explanation of A.",G7C1.7,"A is true, but R is false.",,"A is false, but R is true.",,C,Understanding,,false
G7Ch1S4Q2,7,Science,The Ever Evolving World of Science,Everyday Phenomena: Thinking Like a Scientist,When haldi turns red after adding soap it shows:,No reaction has occurred,G7C1.11,Soap changes only the smell of haldi,G7C1.11,Some materials react and show chemical changes,,Haldi melts in soap,G7C1.11,C,Application,,false
G7Ch1S5Q1,7,Science,The Ever Evolving World of Science,Science Time and Universe,Day and night occur because:,Earth revolves around the Sun,G7C1.8,Earth rotates around its axis,,Earth's axis is tilted,,"All of the above.",G7C1.9,B,Theory,,false
G7Ch1S5Q2,7,Science,The Ever Evolving World of Science,Science Time and Universe,Which of the following is a drawback of using a sundial for time measurement?,It does not show accurate time,G7C1.10,It shows only local time,,It requires an expensive setup,G7C1.10,Sundials do not use a battery,G7C1.10,B,Understanding,,false
G7Ch2S1Q1,7,Science,"Exploring Substances: Acidic, Basic and Neutral",What makes a substance acidic or basic,Which of the following methods is always safe to use for testing physical properties of acidic and basic substances?,Only tasting,G7C2.1,Only feeling,G7C2.1,Only smelling,G7C2.1,It depends on the substance.,,D,Understanding,,false
G7Ch2S1Q2,7,Science,"Exploring Substances: Acidic, Basic and Neutral",What makes a substance acidic or basic,Which of the following statements is TRUE?,Tasting any acidic or basic solution is always safe.,G7C2.1,Tasting any basic solution is safe but not the acidic one.,G7C2.4,Tasting any neutral solution is always safe.,G7C2.3,"Tasting any solution, either acidic, basic or neutral may not be safe.",,D,Understanding,,false
G7Ch2S2Q1,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Nature's clue: Indicators,"Assertion (A): All natural indicators change colour when mixed with either acidic or basic solutions. Reason (R): Turmeric solution changes colour when added to a basic solution.","Both A and R are true and R is the correct explanation of A.",G7C2.12,"Both A and R are true, but R is not the correct explanation of A.",G7C2.12,"A is true, but R is false.",,"A is false, but R is true.",,D,Understanding,,false
G7Ch2S2Q2,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Nature's clue: Indicators,Which of the following is a correct statement?,Natural indicators are used to test only natural acidic or basic substances.,G7C2.13,Natural indicators are used to test only chemical acidic and basic substances.,G7C2.13,Natural indicators are used to test both natural and chemical acidic and basic substances.,,None of the above.,G7C2.13,C,Theory,,false
G7Ch2S3Q1,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Synthetic indicators,Meeta put a few drops of lime juice and lime water on two separate blue litmus papers tagged A and B respectively. What would she observe?,A turns red and B remains blue,,A and B both turn red,G7C2.8,A remains blue and B turns red,G7C2.7,A and B both remain blue,G7C2.8,A,Application,,false
G7Ch2S3Q2,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Synthetic indicators,"Which of the following is correct? 1) Red litmus turns blue only when basic solution is poured onto it. 2) Red litmus turns blue when neutral and basic solutions are poured onto it. 3) Blue litmus turns red only when acidic solution is poured onto it. 4) Blue litmus turns red and red litmus turns blue when neutral solution is poured onto it.","Only 1 and 3",,Only 2,G7C2.7,Only 4,G7C2.7,Only 2 and 4,G7C2.7,A,Understanding,,false
G7Ch2S4Q1,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Understanding neutralisation,In which of the following processes does neutralisation occur?,"Mixing salt, sugar and lemon juice in water to make lemon water",G7C2.10,Using cleaning liquid to clean a toilet,,Using dishwashing soap to clean dirty utensils,,Brushing teeth with toothpaste,,D,Application,,false
G7Ch2S4Q2,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Understanding neutralisation,"Assertion (A): Distilled water can be used to neutralise acidic insect stings. Reason (R): Distilled water is neutral in nature.","Both A and R are true and R is the correct explanation of A.",G7C2.10,"Both A and R are true, but R is not the correct explanation of A.",G7C2.10,"A is true, but R is false.",,"A is false, but R is true.",,D,Understanding,,false
G7Ch2S5Q1,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Acids and bases in daily life,Which of the following statements is TRUE?,All acids and bases occurring in nature are safe to taste.,G7C2.11,All natural acids are harmful to taste but basic substances are ok to taste.,G7C2.4,All neutral substances are ok to taste.,G7C2.3,Some acids are ok to taste.,,D,Understanding,,false
G7Ch2S5Q2,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Acids and bases in daily life,Ramya's father used lime water to treat the condition of his farm soil. What could be the possible soil condition?,Soil is basic.,G7C2.8,Soil is acidic.,,Soil is neutral.,G7C2.6,Soil lacks nutrients.,G7C2.6,B,Application,,false
G7Ch2S6Q1,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Design your own kit,"Which of the following is a safe way to test acidic and basic substances? 1) Tasting in very small quantity 2) Feeling small quantity between hands 3) Using only natural indicators 4) Using natural or synthetic indicators",Only 3,G7C2.5,Only 4,,Only 1 and 2,G7C2.2,"All of 1, 2, 3 and 4",G7C2.2,B,Application,,false
G7Ch2S6Q2,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Design your own kit,Few drops of an unknown liquid were dropped on a litmus paper. Rajesh did not know the original colour of the litmus paper but observed that it is blue after dropping the liquid. Which of the following could be the nature of the liquid?,Only Basic,,Only Acidic,G7C2.7,Either Acidic or Basic,G7C2.9,Either Neutral or Basic,,D,Application,,false
G7Ch3S1Q1,7,Science,Electricity: Circuits and their components,Introduction to Electricity and Its Role in Daily Life,Which of the following places needs electricity all the time?,Football field,,Hospital,,Parade ground,,Forest,,B,Theory,,false
G7Ch3S1Q2,7,Science,Electricity: Circuits and their components,Introduction to Electricity and Its Role in Daily Life,Which of the following is the correct statement regarding use of electricity at home?,It is needed for entertainment purposes only.,,It is needed only at night.,,It helps run various appliances such as TVs and fans.,,It is mainly needed in factories and hospitals but not so much at home.,,C,Theory,,false
G7Ch3S3Q1,7,Science,Electricity: Circuits and their components,Exploring Electric Lamps and LEDs,"Priya went to buy an electric bulb for her living room. The shopkeeper suggested two options: 1) Incandescent light bulb costing Rs 20. 2) LED bulb of similar brightness costing Rs 60. Which one should Priya buy and why?",Incandescent bulb because it is cheap.,,Incandescent bulb because it has a higher life.,,LED bulb because it saves energy.,,It doesn't matter because both bulbs have the same brightness.,,C,Application,,false
G7Ch3S5Q1,7,Science,Electricity: Circuits and their components,DIY Switch and Its Function,What is the main function of a switch in an electric circuit?,To increase the brightness of the bulb.,,To store electricity.,,To control the flow of electric current.,,To convert bad conducting wires to good conducting wires.,,C,Theory,,false
G7Ch3S7Q1,7,Science,Electricity: Circuits and their components,Conductors and Insulators of Electricity,Piya was making an electric circuit but found herself lacking connecting wires. Which of the following can be used to connect two loose ends of wire so that the circuit is complete?,Rubber band,,Aluminium foil,,Wooden scale,,None of these,,B,Application,,false
G7Ch3S7Q2,7,Science,Electricity: Circuits and their components,Conductors and Insulators of Electricity,Raj works as an electrician. Which of the following tools should he use for safety while repairing electrical appliances?,Rubber gloves,,Plastic footwear,,Tools with wooden handles,,All of the above.,,D,Application,,false
G7Ch4S1Q1,7,Science,The World of Metals and Non-metals,Introduction to metals and non-metals,Our day-to-day items are made of:,Only metals,G7C4.1,Only non-metals,G7C4.1,Metals and non-metals,,Neither metals nor non-metals,,C,Theory,,false
G7Ch4S1Q2,7,Science,The World of Metals and Non-metals,Introduction to metals and non-metals,Which of the following classification is correct?,Diamond – Metal,G7C4.2,Mercury – Non-metal,G7C4.3,Silicon – Metal,,Tin can – Metal,,D,Understanding,,false
G7Ch4S2Q1,7,Science,The World of Metals and Non-metals,Physical properties,Which of the following cannot be a property of a metal at room temperature?,Hardness,G7C4.4,Gaseous state,,Malleability,G7C4.4,None of the above,G7C4.4,B,Theory,,false
G7Ch4S2Q2,7,Science,The World of Metals and Non-metals,Physical properties,"Assertion (A): We can make wires out of rubber. Reason (R): Rubber is elastic.","Both A and R are true and R is the correct explanation of A.",G7C4.5,"Both A and R are true, but R is not the correct explanation of A.",G7C4.5,"A is true, but R is false.",,"A is false, but R is true.",,D,Understanding,Ductility (ability to be drawn into wires) is different from elasticity (ability to spring back to original shape).,false
G7Ch4S3Q1,7,Science,The World of Metals and Non-metals,Chemical properties: Reaction with oxygen,In the rainy season we observe rust on multiple iron objects. What does this prove?,Iron is a non-metal and it reacts with oxygen.,,Iron is a metal and only metals react with oxygen.,G7C4.6,Iron is a metal and metals can react with oxygen.,,Rust is a physical change in iron material.,G7C4.8,C,Application,,false
G7Ch4S3Q2,7,Science,The World of Metals and Non-metals,Chemical properties: Reaction with oxygen,Raghav burned a magnesium ribbon and obtained a white ash. Which of the following is a correct statement?,We can burn only non-metals and it is called oxidation.,G7C4.7,We can burn only metals and it is called oxidation.,,Burning is an oxidation process and it brings only a physical change in magnesium ribbon.,G7C4.8,Burning is an oxidation process and it brings a chemical change in magnesium ribbon.,,D,Understanding,,false
G7Ch4S4Q1,7,Science,The World of Metals and Non-metals,Chemical properties: Reaction with water and acids,"Priya says, 'If bubbles are formed when acid is added to a metal, the bubbles must be oxygen.' Is she correct?","Yes, because metals reacting with acid form oxygen gas.",G7C4.10,"No, because metals reacting with acid form carbon dioxide gas.",G7C4.10,"No, because metals reacting with acid form hydrogen gas.",,"Yes or No, because it depends on the metal and acid used.",G7C4.10,C,Understanding,,false
G7Ch4S4Q2,7,Science,The World of Metals and Non-metals,Chemical properties: Reaction with water and acids,"A student says, 'All metals react with water in the same way.' Which option corrects this misconception?",All metals react very fast with cold water.,G7C4.10,"Some metals react quickly, while others react slowly or not at all.",,No metals react with water.,G7C4.10,Metals only react with hot water.,G7C4.10,B,Understanding,,false
G7Ch4S5Q1,7,Science,The World of Metals and Non-metals,Use of metals and non-metals,"Assertion (A): We do not use wires made of gold in electrical wiring at home. Reason (R): Gold is highly ductile.","Both A and R are true and R is the correct explanation of A.",G7C4.9,"Both A and R are true, but R is not the correct explanation of A.",,"A is true, but R is false.",G7C4.4,"A is false, but R is true.",G7C4.9,B,Understanding,Gold is ductile but too expensive and not significantly better than copper for home wiring.,false
G7Ch4S5Q2,7,Science,The World of Metals and Non-metals,Use of metals and non-metals,We make tea strainers using metal wires. Which property of metal helps in this application?,Malleability,G7C4.4,Lustrous appearance,G7C4.4,Ductility,,Conductor of heat,G7C4.4,C,Application,,false
G7Ch5S1Q1,7,Science,Changes Around Us: Physical and Chemical,Introduction to change,Which of the following is a physical change?,Melting of glaciers,,Cooking food,G7C5.1,Making paneer from milk,G7C5.1,Lighting an oil lamp,G7C5.1,A,Theory,,false
G7Ch5S1Q2,7,Science,Changes Around Us: Physical and Chemical,Introduction to change,Which of the following is a correct mapping?,Rusting of iron – Physical change,G7C5.2,Milk turning into curd – Chemical change,,Steaming idli – Physical change,G7C5.2,Sublimation of dry ice – Chemical change,G7C5.1,B,Understanding,,false
G7Ch5S2Q1,7,Science,Changes Around Us: Physical and Chemical,Physical changes,Which of the following is a correct statement?,All physical changes are reversible.,G7C5.3,If a change is irreversible then it must be a chemical change.,G7C5.5,If a physical change is irreversible then it must form a new product.,G7C5.6,New product cannot be formed in a physical change.,,D,Understanding,,false
G7Ch5S2Q2,7,Science,Changes Around Us: Physical and Chemical,Physical changes,Which of the following is possible in a physical change?,Formation of a new substance,G7C5.6,Increase in mass,,Increase in volume,,Change in chemical identity,,C,Understanding,,false
G7Ch5S3Q1,7,Science,Changes Around Us: Physical and Chemical,Chemical changes part 1,Which of the following may change in a chemical reaction?,Smell,,Volume,,Both smell and volume,,Neither smell nor volume,G7C5.12,C,Theory,,false
G7Ch5S3Q2,7,Science,Changes Around Us: Physical and Chemical,Chemical changes part 1,Which of the following is correct regarding chemical change?,It is always reversible.,,It is always irreversible.,G7C5.5,It may or may not be irreversible.,,New substance may or may not form.,,C,Understanding,,false
G7Ch5S4Q1,7,Science,Changes Around Us: Physical and Chemical,Chemical changes part 2: Combustion and rusting,Ravi wants to store iron nails safely for a long time. Which of the following is the best option?,Metal container with a loose lid,G7C5.10,Open container containing water,G7C5.10,Plastic container with moisture-absorbing silica gel and a loose lid,G7C5.10,Plastic airtight container with moisture-absorbing silica gel,,D,Application,,false
G7Ch5S4Q2,7,Science,Changes Around Us: Physical and Chemical,Chemical changes part 2: Combustion and rusting,Which of the following is necessary for combustion?,Water vapour,G7C5.11,Airtight container,G7C5.11,Oxygen,,Carbon dioxide,G7C5.11,C,Theory,,false
G7Ch5S5Q1,7,Science,Changes Around Us: Physical and Chemical,Mixed changes,"Burning candle is an example of mixed changes. The reason for this is: 1) Melting wax is a chemical change 2) Burning wick is a physical change 3) It is reversible as well as irreversible change 4) It is physical as well as chemical change.","Only 1 and 2",G7C5.1,"Only 1, 2 and 3",,Only 4,,"All – 1, 2, 3 and 4",G7C5.1,C,Understanding,,false
G7Ch5S5Q2,7,Science,Changes Around Us: Physical and Chemical,Mixed changes,Which of the following is an example of mixed changes?,Eating and digesting food,,Breaking of a glass bottle,G7C5.1,Rusting of an iron nail,G7C5.2,Dissolving sugar in water,,A,Application,,false
G7Ch5S6Q1,7,Science,Changes Around Us: Physical and Chemical,Environmental impact: Weathering of rocks,"Assertion (A): Weathering is always harmful for the environment. Reason (R): Weathering of rocks leads to soil formation.","Both A and R are true and R is the correct explanation of A.",,"Both A and R are true, but R is not the correct explanation of A.",,"A is true, but R is false.",,"A is false, but R is true.",,D,Understanding,Weathering forms soil which is essential for plant growth and sustaining ecosystems.,false
G7Ch5S7Q1,7,Science,Changes Around Us: Physical and Chemical,Reflection and application,Which of the following is a correct statement?,Physical changes are desirable but chemical changes are undesirable.,G7C5.4,Physical changes are undesirable but chemical changes are desirable.,,Both physical and chemical changes are always desirable.,,A change being desirable or undesirable depends on the context.,,D,Understanding,,false
G7Ch5S7Q2,7,Science,Changes Around Us: Physical and Chemical,Reflection and application,Which of the following chemical changes is desirable?,Rusting of an iron tawa,,Milling wheat into flour,G7C5.1,Fermenting idli batter,,Making a lemonade,G7C5.1,C,Application,,false
G7Ch7S1Q1,7,Science,Heat Transfer in Nature,Introduction to Heat Transfer: Conduction,In which of the following cases is heat NOT transferred by conduction?,When boiling water in a cast iron pan and the pan gets heated.,,When an iron piece is placed in fire and becomes red hot.,,When we touch a bulb that was on for a long time and feel it has become hot.,,During a cold winter night we feel warm while sitting near a bonfire.,,D,Understanding,,false
G7Ch7S2Q1,7,Science,Heat Transfer in Nature,Good and Poor Conductors of Heat,"Assertion: While making cooking utensils only materials which are good conductors of heat are used. Reason: Generally, we use pans made of iron for cooking food.","Both A and R are true and R is the correct explanation of A.",,"Both A and R are true, but R is not the correct explanation of A.",,"A is true, but R is false.",,"A is false, but R is true.",,D,Understanding,Wood and plastic are used to make handles and clay utensils are used for slow cooking.,false
G7Ch7S2Q2,7,Science,Heat Transfer in Nature,Good and Poor Conductors of Heat,"While cooking potato curry on a medium flame, Priya left a spoon inside the pan for 3–4 minutes. When she touched the spoon to stir the curry again, it felt hot. Which material is the spoon most likely made of?",Wood,,Plastic,,Steel,,Silicon,,C,Application,,false
G7Ch7S3Q1,7,Science,Heat Transfer in Nature,Convection in Air,Which of the following is a real-life application of convection of air?,Sun warming the earth,,Boiling of water,,Hot air balloon,,Walking barefoot on a hot road,,C,Theory,,false
G7Ch7S3Q2,7,Science,Heat Transfer in Nature,Convection in Air,Rajesh is installing a room heater. To warm the room most effectively where should the heater be placed?,Near the ceiling.,,Near the floor.,,In the middle of the wall.,,It is equally effective anywhere.,,B,Application,,false
G7Ch7S4Q1,7,Science,Heat Transfer in Nature,Convection in Water,After heating a bucket of water with an immersion rod how does the temperature of water at the top compare with that at the bottom?,The water at the bottom is hotter than the water at the top.,,The water at the top is hotter than the water at the bottom.,,The water at the top and bottom are always at the same temperature.,,The temperature difference depends only on the size of the bucket.,,B,Understanding,,false
G7Ch7S4Q2,7,Science,Heat Transfer in Nature,Convection in Water,During convection in water which water particles move downward?,Hotter water particles,,Cooler water particles,,All water particles move upward.,,Convection does not make water particles move.,,B,Theory,,false
G7Ch10S1Q1,7,Science,Life Processes in Plants,How Do Plants Grow,Which of the following is NOT an important factor for healthy plant growth?,Water,,Sunlight,,Soil without nutrients,,Air,,C,Theory,,false
G7Ch10S1Q2,7,Science,Life Processes in Plants,How Do Plants Grow,Priya had a small potted hibiscus plant. She gave it water and fertilizer regularly but the leaves still turned yellow. What could be her mistake?,She kept the plant away from sunlight.,,She used a plastic pot instead of a clay pot.,,She watered the plant in the morning.,,None of the above.,,A,Application,,false
G7Ch10S2Q1,7,Science,Life Processes in Plants,How Do Plants Get Food for Their Growth?,"Assertion: The part of a plant which takes nutrients from soil is called the 'food factory' of plants. Reason: Plants make their own food.","Both A and R are true and R is the correct explanation of A.",,"Both A and R are true, but R is not the correct explanation of A.",,"A is true, but R is false.",,"A is false, but R is true.",,D,Understanding,Roots absorb nutrients from soil; leaves are the food factories because they make food via photosynthesis.,false
G7Ch10S2Q2,7,Science,Life Processes in Plants,How Do Plants Get Food for Their Growth?,Why do we use the iodine test on leaves?,To check for the presence of chlorophyll.,,To check for the presence of protein.,,To check for the presence of starch.,,To check for the presence of oxygen.,,C,Theory,,false
G7Ch10S3Q1,7,Science,Life Processes in Plants,Photosynthesis,What is the role of sunlight in the photosynthesis process?,Sunlight is a raw material in photosynthesis.,,Sunlight helps roots to get more water needed for photosynthesis.,,Sunlight provides energy for photosynthesis.,,Sunlight is not needed for photosynthesis.,,C,Theory,,false
G7Ch10S3Q2,7,Science,Life Processes in Plants,Photosynthesis,A plant grows in a pot for several months. Most of the increase in its mass comes from:,Minerals absorbed from the soil.,,Water absorbed by the roots.,,Carbon dioxide taken from the air.,,Sunlight.,,C,Understanding,,false
G7Ch10S4Q1,7,Science,Life Processes in Plants,Respiration and Transpiration in Plants,"Kavya says only animals respire. Jaya says both animals and plants respire and need oxygen. Ravish says both respire but animals need oxygen and plants need carbon dioxide. Who is correct?",Kavya,,Jaya,,Ravish,,None of them,,B,Understanding,,false
G7Ch10S4Q2,7,Science,Life Processes in Plants,Respiration and Transpiration in Plants,Choose the correct pairing of plant process and the time when it occurs.,"Photosynthesis – only during day; Respiration – only during day; Transpiration – only during day",,"Photosynthesis – only during day; Respiration – only during night; Transpiration – only during day",,"Photosynthesis – only during day; Respiration – during day and night; Transpiration – during day and night",,"Photosynthesis – during day and night; Respiration – during day and night; Transpiration – during day and night",,C,Understanding,,false
G7Ch10S5Q1,7,Science,Life Processes in Plants,Transport in Plants: Xylem and Phloem,Which of the following is a correct statement?,Xylem carries water and food.,,Phloem carries water from roots to leaves.,,Xylem carries food from leaves to all parts of the plant.,,Phloem carries food from leaves to all parts of the plant.,,D,Theory,,false
G7Ch10S5Q2,7,Science,Life Processes in Plants,Transport in Plants: Xylem and Phloem,A ring of bark containing phloem is removed from a tree trunk but the xylem remains intact. What is likely to happen?,Water transport stops immediately.,,Food transport to roots is affected.,,Photosynthesis stops instantly.,,No issues will occur because xylem is still intact.,,B,Application,,false
